title	act	scene	number	type	subtype	who	text
Two Gentlemen of Verona	1	1	1	direction	entrance	Valentine_TGV	Enter Valentine and Proteus.
Two Gentlemen of Verona	1	1	1	direction	entrance	Proteus_TGV	Enter Valentine and Proteus.
Two Gentlemen of Verona	1	1	2	speech	verse	Valentine_TGV	Cease to persuade, my loving Proteus.
Two Gentlemen of Verona	1	1	3	speech	verse	Valentine_TGV	Home-keeping youth have ever homely wits.
Two Gentlemen of Verona	1	1	4	speech	verse	Valentine_TGV	Were ’t not affection chains thy tender days
Two Gentlemen of Verona	1	1	5	speech	verse	Valentine_TGV	To the sweet glances of thy honored love,
Two Gentlemen of Verona	1	1	6	speech	verse	Valentine_TGV	I rather would entreat thy company
Two Gentlemen of Verona	1	1	7	speech	verse	Valentine_TGV	To see the wonders of the world abroad
Two Gentlemen of Verona	1	1	8	speech	verse	Valentine_TGV	Than, living dully sluggardized at home,
Two Gentlemen of Verona	1	1	9	speech	verse	Valentine_TGV	Wear out thy youth with shapeless idleness.
Two Gentlemen of Verona	1	1	10	speech	verse	Valentine_TGV	But since thou lov’st, love still and thrive therein,
Two Gentlemen of Verona	1	1	11	speech	verse	Valentine_TGV	Even as I would when I to love begin.
Two Gentlemen of Verona	1	1	12	speech	verse	Proteus_TGV	Wilt thou be gone? Sweet Valentine, adieu.
Two Gentlemen of Verona	1	1	13	speech	verse	Proteus_TGV	Think on thy Proteus when thou haply seest
Two Gentlemen of Verona	1	1	14	speech	verse	Proteus_TGV	Some rare noteworthy object in thy travel.
Two Gentlemen of Verona	1	1	15	speech	verse	Proteus_TGV	Wish me partaker in thy happiness
Two Gentlemen of Verona	1	1	16	speech	verse	Proteus_TGV	When thou dost meet good hap; and in thy danger,
Two Gentlemen of Verona	1	1	17	speech	verse	Proteus_TGV	If ever danger do environ thee,
Two Gentlemen of Verona	1	1	18	speech	verse	Proteus_TGV	Commend thy grievance to my holy prayers,
Two Gentlemen of Verona	1	1	19	speech	verse	Proteus_TGV	For I will be thy beadsman, Valentine.
