title	act	scene	number	type	subtype	who	text
Romeo and Juliet	1	1	1	direction	entrance	SERVANTS.CAPULET.Sampson_Rom	Enter Sampson and Gregory, with swords and bucklers,of the house of Capulet.
Romeo and Juliet	1	1	1	direction	entrance	SERVANTS.CAPULET.Gregory_Rom	Enter Sampson and Gregory, with swords and bucklers,of the house of Capulet.
Romeo and Juliet	1	1	2	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Gregory, on my word we’ll not carry coals.
Romeo and Juliet	1	1	3	speech	prose	SERVANTS.CAPULET.Gregory_Rom	No, for then we should be colliers.
Romeo and Juliet	1	1	4	speech	prose	SERVANTS.CAPULET.Sampson_Rom	I mean, an we be in choler, we’ll draw.
Romeo and Juliet	1	1	5	speech	prose	SERVANTS.CAPULET.Gregory_Rom	Ay, while you live, draw your neck out of collar.
Romeo and Juliet	1	1	6	speech	prose	SERVANTS.CAPULET.Sampson_Rom	I strike quickly, being moved.
Romeo and Juliet	1	1	7	speech	prose	SERVANTS.CAPULET.Gregory_Rom	But thou art not quickly moved to strike.
Romeo and Juliet	1	1	8	speech	prose	SERVANTS.CAPULET.Sampson_Rom	A dog of the house of Montague moves me.
Romeo and Juliet	1	1	9	speech	prose	SERVANTS.CAPULET.Gregory_Rom	To move is to stir, and to be valiant is to stand. Therefore if thou art moved thou runn’st away.
Romeo and Juliet	1	1	10	speech	prose	SERVANTS.CAPULET.Sampson_Rom	A dog of that house shall move me to stand. I will take the wall of any man or maid of Montague’s.
Romeo and Juliet	1	1	11	speech	prose	SERVANTS.CAPULET.Gregory_Rom	That shows thee a weak slave, for the weakest goes to the wall.
Romeo and Juliet	1	1	12	speech	prose	SERVANTS.CAPULET.Sampson_Rom	’Tis true, and therefore women, being the weaker vessels, are ever thrust to the wall. Therefore I will push Montague’s men from the wall and thrust his maids to the wall.
Romeo and Juliet	1	1	13	speech	prose	SERVANTS.CAPULET.Gregory_Rom	The quarrel is between our masters and us their men.
Romeo and Juliet	1	1	14	speech	prose	SERVANTS.CAPULET.Sampson_Rom	’Tis all one. I will show myself a tyrant. When I have fought with the men, I will be civil with the maids; I will cut off their heads.
Romeo and Juliet	1	1	15	speech	prose	SERVANTS.CAPULET.Gregory_Rom	The heads of the maids?
Romeo and Juliet	1	1	16	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Ay, the heads of the maids, or their maidenheads. Take it in what sense thou wilt.
Romeo and Juliet	1	1	17	speech	prose	SERVANTS.CAPULET.Gregory_Rom	They must take it in sense that feel it.
Romeo and Juliet	1	1	18	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Me they shall feel while I am able to stand, and ’tis known I am a pretty piece of flesh.
Romeo and Juliet	1	1	19	speech	prose	SERVANTS.CAPULET.Gregory_Rom	’Tis well thou art not fish; if thou hadst, thou hadst been poor-john. Draw thy tool. Here comes of the house of Montagues.
Romeo and Juliet	1	1	20	direction	entrance	SERVANTS.MONTAGUE.Abram_Rom	Enter Abram with another Servingman.
Romeo and Juliet	1	1	20	direction	entrance	SERVANTS.MONTAGUE.1_Rom	Enter Abram with another Servingman.
Romeo and Juliet	1	1	21	speech	prose	SERVANTS.CAPULET.Sampson_Rom	My naked weapon is out. Quarrel, I will back thee.
Romeo and Juliet	1	1	22	speech	prose	SERVANTS.CAPULET.Gregory_Rom	How? Turn thy back and run?
Romeo and Juliet	1	1	23	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Fear me not.
Romeo and Juliet	1	1	24	speech	prose	SERVANTS.CAPULET.Gregory_Rom	No, marry. I fear thee!
Romeo and Juliet	1	1	25	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Let us take the law of our sides; let them begin.
Romeo and Juliet	1	1	26	speech	prose	SERVANTS.CAPULET.Gregory_Rom	I will frown as I pass by, and let them take it as they list.
Romeo and Juliet	1	1	27	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Nay, as they dare. I will bite my thumb at them, which is disgrace to them if they bear it.
Romeo and Juliet	1	1	28	direction	business	SERVANTS.CAPULET.Sampson_Rom	He bites his thumb.
Romeo and Juliet	1	1	29	speech	prose	SERVANTS.MONTAGUE.Abram_Rom	Do you bite your thumb at us, sir?
Romeo and Juliet	1	1	30	speech	prose	SERVANTS.CAPULET.Sampson_Rom	I do bite my thumb, sir.
Romeo and Juliet	1	1	31	speech	prose	SERVANTS.MONTAGUE.Abram_Rom	Do you bite your thumb at us, sir?
Romeo and Juliet	1	1	32	direction	delivery	SERVANTS.CAPULET.Sampson_Rom	, aside to Gregory
Romeo and Juliet	1	1	33	speech	prose	SERVANTS.CAPULET.Sampson_Rom	Is the law of our side if I say “Ay”?
Romeo and Juliet	1	1	34	direction	delivery	SERVANTS.CAPULET.Gregory_Rom	, aside to Sampson
