title	act	scene	number	type	subtype	who	text
Love's Labor's Lost	1	1	1	direction	entrance	King_LLL	Enter Ferdinand, King of Navarre, Berowne,Longaville, and Dumaine.
Love's Labor's Lost	1	1	1	direction	entrance	Berowne_LLL	Enter Ferdinand, King of Navarre, Berowne,Longaville, and Dumaine.
Love's Labor's Lost	1	1	1	direction	entrance	Longaville_LLL	Enter Ferdinand, King of Navarre, Berowne,Longaville, and Dumaine.
Love's Labor's Lost	1	1	1	direction	entrance	Dumaine_LLL	Enter Ferdinand, King of Navarre, Berowne,Longaville, and Dumaine.
Love's Labor's Lost	1	1	2	speech	verse	King_LLL	Let fame, that all hunt after in their lives,
Love's Labor's Lost	1	1	3	speech	verse	King_LLL	Live registered upon our brazen tombs,
Love's Labor's Lost	1	1	4	speech	verse	King_LLL	And then grace us in the disgrace of death,
Love's Labor's Lost	1	1	5	speech	verse	King_LLL	When, spite of cormorant devouring time,
Love's Labor's Lost	1	1	6	speech	verse	King_LLL	Th’ endeavor of this present breath may buy
Love's Labor's Lost	1	1	7	speech	verse	King_LLL	That honor which shall bate his scythe’s keen edge
Love's Labor's Lost	1	1	8	speech	verse	King_LLL	And make us heirs of all eternity.
Love's Labor's Lost	1	1	9	speech	verse	King_LLL	Therefore, brave conquerors, for so you are
Love's Labor's Lost	1	1	10	speech	verse	King_LLL	That war against your own affections
Love's Labor's Lost	1	1	11	speech	verse	King_LLL	And the huge army of the world’s desires,
Love's Labor's Lost	1	1	12	speech	verse	King_LLL	Our late edict shall strongly stand in force.
Love's Labor's Lost	1	1	13	speech	verse	King_LLL	Navarre shall be the wonder of the world;
Love's Labor's Lost	1	1	14	speech	verse	King_LLL	Our court shall be a little academe,
Love's Labor's Lost	1	1	15	speech	verse	King_LLL	Still and contemplative in living art.
Love's Labor's Lost	1	1	16	speech	verse	King_LLL	You three, Berowne, Dumaine, and Longaville,
Love's Labor's Lost	1	1	17	speech	verse	King_LLL	Have sworn for three years’ term to live with me,
Love's Labor's Lost	1	1	18	speech	verse	King_LLL	My fellow scholars, and to keep those statutes
Love's Labor's Lost	1	1	19	speech	verse	King_LLL	That are recorded in this schedule here.
Love's Labor's Lost	1	1	20	direction	business	King_LLL	He holds up a scroll.
Love's Labor's Lost	1	1	21	speech	verse	King_LLL	Your oaths are passed, and now subscribe your names,
Love's Labor's Lost	1	1	22	speech	verse	King_LLL	That his own hand may strike his honor down
Love's Labor's Lost	1	1	23	speech	verse	King_LLL	That violates the smallest branch herein.
Love's Labor's Lost	1	1	24	speech	verse	King_LLL	If you are armed to do as sworn to do,
Love's Labor's Lost	1	1	25	speech	verse	King_LLL	Subscribe to your deep oaths, and keep it too.
Love's Labor's Lost	1	1	26	speech	verse	Longaville_LLL	I am resolved. ’Tis but a three years’ fast.
Love's Labor's Lost	1	1	27	speech	verse	Longaville_LLL	The mind shall banquet though the body pine.
Love's Labor's Lost	1	1	28	speech	verse	Longaville_LLL	Fat paunches have lean pates, and dainty bits
Love's Labor's Lost	1	1	29	speech	verse	Longaville_LLL	Make rich the ribs but bankrout quite the wits.
Love's Labor's Lost	1	1	30	direction	business	Longaville_LLL	He signs his name.
Love's Labor's Lost	1	1	31	speech	verse	Dumaine_LLL	My loving lord, Dumaine is mortified.
Love's Labor's Lost	1	1	32	speech	verse	Dumaine_LLL	The grosser manner of these world’s delights
Love's Labor's Lost	1	1	33	speech	verse	Dumaine_LLL	He throws upon the gross world’s baser slaves.
Love's Labor's Lost	1	1	34	speech	verse	Dumaine_LLL	To love, to wealth, to pomp I pine and die,
Love's Labor's Lost	1	1	35	speech	verse	Dumaine_LLL	With all these living in philosophy.
Love's Labor's Lost	1	1	36	direction	business	Dumaine_LLL	He signs his name.
Love's Labor's Lost	1	1	37	speech	verse	Berowne_LLL	I can but say their protestation over.
Love's Labor's Lost	1	1	38	speech	verse	Berowne_LLL	So much, dear liege, I have already sworn,
Love's Labor's Lost	1	1	39	speech	verse	Berowne_LLL	That is, to live and study here three years.
Love's Labor's Lost	1	1	40	speech	verse	Berowne_LLL	But there are other strict observances:
Love's Labor's Lost	1	1	41	speech	verse	Berowne_LLL	As not to see a woman in that term,
Love's Labor's Lost	1	1	42	speech	verse	Berowne_LLL	Which I hope well is not enrollèd there;
Love's Labor's Lost	1	1	43	speech	verse	Berowne_LLL	And one day in a week to touch no food,
Love's Labor's Lost	1	1	44	speech	verse	Berowne_LLL	And but one meal on every day besides,
Love's Labor's Lost	1	1	45	speech	verse	Berowne_LLL	The which I hope is not enrollèd there;
Love's Labor's Lost	1	1	46	speech	verse	Berowne_LLL	And then to sleep but three hours in the night,
Love's Labor's Lost	1	1	47	speech	verse	Berowne_LLL	And not be seen to wink of all the day—
Love's Labor's Lost	1	1	48	speech	verse	Berowne_LLL	When I was wont to think no harm all night,
Love's Labor's Lost	1	1	49	speech	verse	Berowne_LLL	And make a dark night too of half the day—
Love's Labor's Lost	1	1	50	speech	verse	Berowne_LLL	Which I hope well is not enrollèd there.
Love's Labor's Lost	1	1	51	speech	verse	Berowne_LLL	O, these are barren tasks, too hard to keep,
Love's Labor's Lost	1	1	52	speech	verse	Berowne_LLL	Not to see ladies, study, fast, not sleep.
Love's Labor's Lost	1	1	53	speech	verse	King_LLL	Your oath is passed to pass away from these.
Love's Labor's Lost	1	1	54	speech	verse	Berowne_LLL	Let me say no, my liege, an if you please.
Love's Labor's Lost	1	1	55	speech	verse	Berowne_LLL	I only swore to study with your Grace
Love's Labor's Lost	1	1	56	speech	verse	Berowne_LLL	And stay here in your court for three years’ space.
Love's Labor's Lost	1	1	57	speech	verse	Longaville_LLL	You swore to that, Berowne, and to the rest.
Love's Labor's Lost	1	1	58	speech	verse	Berowne_LLL	By yea and nay, sir. Then I swore in jest.
Love's Labor's Lost	1	1	59	speech	verse	Berowne_LLL	What is the end of study, let me know?
Love's Labor's Lost	1	1	60	speech	verse	King_LLL	Why, that to know which else we should not know.
Love's Labor's Lost	1	1	61	speech	verse	Berowne_LLL	Things hid and barred, you mean, from common sense.
Love's Labor's Lost	1	1	62	speech	verse	King_LLL	Ay, that is study’s godlike recompense.
Love's Labor's Lost	1	1	63	speech	verse	Berowne_LLL	Come on, then, I will swear to study so,
Love's Labor's Lost	1	1	64	speech	verse	Berowne_LLL	To know the thing I am forbid to know:
Love's Labor's Lost	1	1	65	speech	verse	Berowne_LLL	As thus—to study where I well may dine,
Love's Labor's Lost	1	1	66	speech	verse	Berowne_LLL	When I to feast expressly am forbid;
Love's Labor's Lost	1	1	67	speech	verse	Berowne_LLL	Or study where to meet some mistress fine
Love's Labor's Lost	1	1	68	speech	verse	Berowne_LLL	When mistresses from common sense are hid;
Love's Labor's Lost	1	1	69	speech	verse	Berowne_LLL	Or having sworn too hard-a-keeping oath,
Love's Labor's Lost	1	1	70	speech	verse	Berowne_LLL	Study to break it, and not break my troth.
Love's Labor's Lost	1	1	71	speech	verse	Berowne_LLL	If study’s gain be thus, and this be so,
Love's Labor's Lost	1	1	72	speech	verse	Berowne_LLL	Study knows that which yet it doth not know.
Love's Labor's Lost	1	1	73	speech	verse	Berowne_LLL	Swear me to this, and I will ne’er say no.
Love's Labor's Lost	1	1	74	speech	verse	King_LLL	These be the stops that hinder study quite,
Love's Labor's Lost	1	1	75	speech	verse	King_LLL	And train our intellects to vain delight.
Love's Labor's Lost	1	1	76	speech	verse	Berowne_LLL	Why, all delights are vain, and that most vain
Love's Labor's Lost	1	1	77	speech	verse	Berowne_LLL	Which with pain purchased doth inherit pain:
Love's Labor's Lost	1	1	78	speech	verse	Berowne_LLL	As painfully to pore upon a book
Love's Labor's Lost	1	1	79	speech	verse	Berowne_LLL	To seek the light of truth, while truth the while
Love's Labor's Lost	1	1	80	speech	verse	Berowne_LLL	Doth falsely blind the eyesight of his look.
Love's Labor's Lost	1	1	81	speech	verse	Berowne_LLL	Light seeking light doth light of light beguile.
Love's Labor's Lost	1	1	82	speech	verse	Berowne_LLL	So, ere you find where light in darkness lies,
Love's Labor's Lost	1	1	83	speech	verse	Berowne_LLL	Your light grows dark by losing of your eyes.
Love's Labor's Lost	1	1	84	speech	verse	Berowne_LLL	Study me how to please the eye indeed
Love's Labor's Lost	1	1	85	speech	verse	Berowne_LLL	By fixing it upon a fairer eye,
Love's Labor's Lost	1	1	86	speech	verse	Berowne_LLL	Who dazzling so, that eye shall be his heed
Love's Labor's Lost	1	1	87	speech	verse	Berowne_LLL	And give him light that it was blinded by.
Love's Labor's Lost	1	1	88	speech	verse	Berowne_LLL	Study is like the heaven’s glorious sun,
Love's Labor's Lost	1	1	89	speech	verse	Berowne_LLL	That will not be deep-searched with saucy looks.
Love's Labor's Lost	1	1	90	speech	verse	Berowne_LLL	Small have continual plodders ever won,
Love's Labor's Lost	1	1	91	speech	verse	Berowne_LLL	Save base authority from others’ books.
Love's Labor's Lost	1	1	92	speech	verse	Berowne_LLL	These earthly godfathers of heaven’s lights,
Love's Labor's Lost	1	1	93	speech	verse	Berowne_LLL	That give a name to every fixèd star,
Love's Labor's Lost	1	1	94	speech	verse	Berowne_LLL	Have no more profit of their shining nights
Love's Labor's Lost	1	1	95	speech	verse	Berowne_LLL	Than those that walk and wot not what they are.
Love's Labor's Lost	1	1	96	speech	verse	Berowne_LLL	Too much to know is to know naught but fame,
Love's Labor's Lost	1	1	97	speech	verse	Berowne_LLL	And every godfather can give a name.
Love's Labor's Lost	1	1	98	speech	verse	King_LLL	How well he’s read to reason against reading.
Love's Labor's Lost	1	1	99	speech	verse	Dumaine_LLL	Proceeded well, to stop all good proceeding.
Love's Labor's Lost	1	1	100	speech	verse	Longaville_LLL	He weeds the corn, and still lets grow the weeding.
Love's Labor's Lost	1	1	101	speech	verse	Berowne_LLL	The spring is near when green geese are a-breeding.
Love's Labor's Lost	1	1	102	speech	verse	Dumaine_LLL	How follows that?
Love's Labor's Lost	1	1	103	speech	verse	Berowne_LLL	Fit in his place and time.
Love's Labor's Lost	1	1	104	speech	verse	Dumaine_LLL	In reason nothing.
Love's Labor's Lost	1	1	105	speech	verse	Berowne_LLL	Something then in rhyme.
Love's Labor's Lost	1	1	106	speech	verse	King_LLL	Berowne is like an envious sneaping frost
Love's Labor's Lost	1	1	107	speech	verse	King_LLL	That bites the firstborn infants of the spring.
Love's Labor's Lost	1	1	108	speech	verse	Berowne_LLL	Well, say I am. Why should proud summer boast
Love's Labor's Lost	1	1	109	speech	verse	Berowne_LLL	Before the birds have any cause to sing?
Love's Labor's Lost	1	1	110	speech	verse	Berowne_LLL	Why should I joy in any abortive birth?
Love's Labor's Lost	1	1	111	speech	verse	Berowne_LLL	At Christmas I no more desire a rose
Love's Labor's Lost	1	1	112	speech	verse	Berowne_LLL	Than wish a snow in May’s new-fangled shows,
Love's Labor's Lost	1	1	113	speech	verse	Berowne_LLL	But like of each thing that in season grows.
Love's Labor's Lost	1	1	114	speech	verse	Berowne_LLL	So you, to study now it is too late,
Love's Labor's Lost	1	1	115	speech	verse	Berowne_LLL	Climb o’er the house to unlock the little gate.
Love's Labor's Lost	1	1	116	speech	verse	King_LLL	Well, sit you out. Go home, Berowne. Adieu.
Love's Labor's Lost	1	1	117	speech	verse	Berowne_LLL	No, my good lord, I have sworn to stay with you.
Love's Labor's Lost	1	1	118	speech	verse	Berowne_LLL	And though I have for barbarism spoke more
Love's Labor's Lost	1	1	119	speech	verse	Berowne_LLL	Than for that angel knowledge you can say,
Love's Labor's Lost	1	1	120	speech	verse	Berowne_LLL	Yet, confident, I’ll keep what I have sworn
Love's Labor's Lost	1	1	121	speech	verse	Berowne_LLL	And bide the penance of each three years’ day.
Love's Labor's Lost	1	1	122	speech	verse	Berowne_LLL	Give me the paper. Let me read the same,
Love's Labor's Lost	1	1	123	speech	verse	Berowne_LLL	And to the strictest decrees I’ll write my name.
Love's Labor's Lost	1	1	124	speech	verse	King_LLL	How well this yielding rescues thee from shame.
Love's Labor's Lost	1	1	125	direction	delivery	Berowne_LLL	reads
